"Accession"	"F1"	"F2"	"F3"	"F4"	"F5"	"F6"	"F7"	"F8"	"F9"	"F10"	"F11"	"F12"	"F13"	"F14"	"F15"	"F16"	"F17"	"F18"	"F19"	"F20"	"F21"	"F22"	"F23"	"F24"	"F25"	"F26"	"F27"	"F28"	"F29"	"F30"	"F31"	"F32"	"F33"	"F34"	"F35"	"F36"	"F37"	"F38"	"F39"	"F40"	"F41"	"F42"	"F43"	"F44"	"F45"	"F46"	"F47"	"F48"	"F49"	"F50"	"F51"	"F52"	"F53"	"F54"	"F55"	"F56"	"F57"	"F58"	"F59"	"F60"	"F61"	"F62"	"F63"	"F64"	"F65"	"F66"	"F67"	"F68"	"F69"	"F70"	"F71"	"F72"	"F73"	"F74"	"F75"	"F76"	"F77"	"F78"	"F79"	"F80"	"F81"	"F82"	"F83"	"F84"	"F85"	"F86"	"F87"	"F88"	"F89"	"F90"	"F91"	"F92"	"F93"	"F94"	"F95"	"F96"	"F97"	"F98"	"F99"	"F100"	"F101"	"F102"	"F103"	"F104"	"F105"	"F106"	"F107"	"F108"	"F109"	"F110"	"F111"	"F112"	"F113"	"F114"	"F115"	"F116"	"F117"	"F118"	"F119"	"F120"	"F121"	"F122"	"F123"	"F124"	"F125"	"F126"	"F127"	"F128"	"F129"	"F130"	"F131"	"F132"	"F133"	"F134"	"F135"	"F136"	"F137"	"F138"	"F139"	"F140"	"F141"	"F142"	"F143"	"F144"	"F145"	"F146"	"F147"	"F148"	"F149"	"F150"	"F151"	"F152"	"F153"	"F154"	"F155"	"F156"	"F157"	"F158"	"F159"	"F160"	"F161"	"F162"	"F163"	"F164"	"F165"	"F166"	"F167"	"F168"	"F169"	"F170"	"F171"	"F172"	"F173"	"F174"	"F175"	"F176"	"F177"	"F178"	"F179"	"F180"	"F181"	"F182"	"F183"	"F184"	"F185"	"F186"	"F187"	"F188"	"F189"	"F190"	"F191"	"F192"	"F193"	"F194"	"F195"	"F196"	"F197"	"F198"	"F199"	"F200"
"A0PJ50"	5193051.08805677	15012733.204094	NA	NA	NA	4532277.1745381	NA	7949931.13962241	NA	16731543.0998086	8755557.62448551	1230912.32759085	NA	5346876.39312551	9657336.02419017	NA	NA	1261108.66552195	5194999.71274435	NA	14769203.8688571	4005548.02099607	NA	16089917.8898093	NA	9739646.53912849	NA	NA	NA	15101643.608851	10271335.4981729	3618933.66435293	NA	14240281.0237295	NA	NA	13968824.7021085	1608092.48184641	1463833.95064496	13523830.0437564	NA	NA	NA	NA	NA	11510424.8308076	1598422.6058165	219718.645730257	7369506.2256101	NA	NA	NA	7071164.09860342	6548456.57179968	NA	NA	NA	2672367.18461088	NA	NA	11478134.0919046	NA	3517709.32011161	15080842.710663	NA	NA	NA	NA	17236688.3554556	17225160.199394	NA	1485755.54892672	19770881.3164757	NA	17436757.4858057	NA	NA	6797495.66528928	8728415.26521155	2684534.09632854	11420804.055148	NA	NA	1368579.95299927	8121718.24327109	NA	NA	NA	NA	NA	NA	7768567.63092644	7844692.84884267	NA	13710835.5490906	593936.265195344	NA	NA	1957457.20295544	NA	10056770.8708976	NA	17064619.3637277	10799474.6916804	7743828.68884447	NA	NA	551424.193829876	4528487.01018013	11580658.44559	11306530.0901212	NA	NA	9454778.38536298	16061296.9064803	NA	11065250.0113359	10217384.9634889	7304031.61288884	12107686.7129383	NA	17379053.40333	2126514.39526508	19084824.5323707	7149587.9137348	NA	14887528.1305132	NA	NA	NA	19299365.1292809	NA	NA	NA	NA	NA	NA	NA	1657620.35868679	1788731.81526563	NA	NA	NA	NA	14263190.3366369	17676398.9601646	NA	1270657.29051546	NA	NA	NA	NA	16882454.7207262	6042066.61937488	1610996.23503283	NA	13233163.4723304	NA	13503347.0839538	3172564.94020577	NA	1803258.04250715	NA	NA	7953778.17267219	NA	4139175.48535488	10684883.2688756	NA	NA	NA	15793278.7495737	NA	5511112.17104349	NA	NA	8367256.57889318	10440127.7854475	NA	16047041.5466594	NA	NA	489828.072523514	NA	NA	10352190.110837	NA	NA	NA	NA	12773365.371493	1906172.69690713	NA	NA	NA	NA	8579062.74390056	NA	14934540.8846524	NA
"O75159"	12139337.8729668	NA	16224766.762905	NA	11758141.6070607	NA	19661164.5555449	NA	NA	NA	16254947.3264479	6683395.73244945	NA	NA	NA	NA	2526776.65740804	4187347.62133803	NA	NA	NA	63938.2539470321	NA	NA	15017408.4995902	NA	NA	4347491.71329678	12813236.0393989	17127688.3655939	NA	18356782.5129152	9468454.5467654	NA	5558729.3102789	NA	17728260.8468889	8279000.85645209	NA	3091860.99555175	NA	6268743.23589766	12197330.3864429	5199407.8762331	6201420.51203388	11693340.9723247	8946448.33546135	8619511.15888604	NA	17289280.9032759	6522998.68877792	9517458.23806877	11165713.9729641	1228172.97065285	NA	NA	19918255.1632465	8303092.73931618	3594045.86724482	NA	NA	5328723.63165785	16822004.4814329	18850135.1166955	NA	6194278.04036305	17360314.3532966	9508011.12114436	12106881.9193554	NA	NA	7149162.32407214	NA	16984390.6207337	16822019.6419762	NA	7285772.18039244	NA	8326458.99080615	NA	4336437.83099006	NA	6097040.96657562	NA	163302.947712089	NA	NA	NA	NA	18508759.4594001	NA	6959011.22490858	NA	4656641.99904088	NA	9056476.64412796	NA	10277824.5390102	NA	20385493.5076673	NA	NA	15288949.4414059	NA	NA	8599292.56165082	NA	15312167.4374392	19770928.2827537	NA	17834165.2118052	19756959.3506097	10477451.7438079	NA	NA	14384140.565217	NA	NA	NA	9451633.17221264	16713686.2925111	NA	6072752.30595129	11551268.1289317	NA	918716.13834399	NA	NA	NA	114271.680969922	8961555.93099192	5419964.82480226	NA	NA	451001.021961973	9502332.54600779	9699437.00500635	9427994.8208536	NA	18371113.9086181	17402684.2981382	NA	NA	NA	1491109.01939477	11621269.6674888	7122928.37446041	NA	NA	17774474.0750916	NA	NA	NA	3292241.29295869	10135752.2428433	16897534.9406745	15956726.521855	4557116.88236501	NA	NA	7337558.91155499	NA	NA	2403073.7576401	14596331.6062625	12081778.2106062	8040204.92261009	NA	2433045.97077959	NA	NA	NA	9999918.19139615	NA	NA	6495236.17001957	NA	NA	NA	NA	17328212.9593954	NA	NA	3730841.38073857	NA	NA	NA	NA	17377420.7232213	NA	NA	NA	NA	7773334.73193441	NA	11015411.6764535	NA	13674562.026988	8394980.36831653	NA
"B2RBZ8"	NA	NA	13756799.7989181	2534666.68756636	1620571.79306923	NA	NA	16399206.2383284	406532.479161972	3249066.51170784	NA	NA	15397883.2740068	9605745.13812418	NA	NA	5763427.32659043	9458249.80239259	NA	18630032.9320798	NA	NA	5340313.01518639	NA	14352059.3425471	NA	5532160.18703775	16056440.9359477	NA	10653189.1349406	NA	18274867.5044775	13560288.770976	NA	NA	NA	NA	10482776.2541172	853530.556192618	NA	NA	735757.574905033	6301338.17543074	12199491.2301847	NA	NA	11512433.3505854	6559509.69750678	NA	NA	NA	NA	NA	15580048.5736797	15894819.8187859	NA	NA	4715525.46804471	NA	906542.683705139	NA	14124496.8097355	NA	NA	NA	NA	2338001.54646877	NA	8796561.98791637	19086450.6267319	3255807.05291906	17079250.7868666	17644375.1486541	20165248.4304112	NA	5336738.41034136	4145566.89153246	5253689.1068092	NA	NA	4238620.85452793	1889650.55512285	NA	9090573.89071161	NA	NA	9507718.42178011	NA	6405799.96183961	4469896.7877667	5771840.68099941	NA	13723455.9542454	5629128.54899967	5969437.09629478	NA	17779411.7631411	18464656.3637311	NA	NA	NA	10151985.63005	4628977.23866297	NA	4844341.49180302	3327163.48056403	NA	1571246.31852207	12310678.0689259	10364786.1001891	16845504.6415378	NA	NA	NA	17396696.7353324	NA	NA	NA	NA	NA	NA	1397257.15786573	7089314.18104226	6759373.18027485	4284902.93329559	NA	NA	NA	11845456.8523879	4820996.58689086	19457212.3846651	NA	17845506.5924486	NA	9521560.19760391	NA	NA	7772152.27142296	14831890.8830875	NA	NA	NA	12574721.2608289	NA	NA	11193575.0495289	1062056.09099404	8629409.60413548	7403171.896353	4056787.00258831	NA	10304951.7710504	15193865.4312322	13638943.5583635	5984231.77364496	2001404.91019409	10232094.1165316	12282137.6087332	3611651.46443622	NA	NA	3307447.15126944	NA	10557892.4060714	14464264.4977511	NA	NA	NA	NA	16942789.8188819	4004045.82339073	5717648.86717403	15629525.8439987	11399569.8585466	4799253.50805033	NA	13028645.5124518	15192997.4592022	13982129.1542095	NA	14327281.9423639	NA	NA	NA	NA	11540106.8332721	4018077.16786523	7569607.0236989	16505010.708303	10892634.4501427	842805.052394259	NA	18750237.0392358	8499979.51651608	17721122.8910233	3253247.29559909	5878643.14869257	NA	84932.0089009772	5150269.98128859
"A0A075B6H7"	7148989.90501271	6315029.99225916	5279823.95614683	NA	4924424.40616931	NA	18021414.2470456	NA	4493134.80751816	NA	NA	NA	19156676.713586	NA	NA	NA	8626492.84600096	NA	15420714.9521802	10566033.7319887	13658264.942659	10737300.8851548	NA	NA	NA	NA	15859849.694171	16961386.6091537	NA	13067790.4442968	NA	10033085.3962305	16700482.4919513	19177764.7199147	NA	7141928.89865891	NA	9978543.70980577	NA	NA	11099993.465368	4636601.55484331	18694753.7003507	7886972.37289252	13011881.0589342	15713354.4023078	NA	15346757.8727681	NA	NA	5221422.60288633	16971256.1703801	NA	7281892.88003455	14824253.8189174	10832844.1370193	NA	16266289.7254078	19073662.1517758	NA	4486438.55355609	NA	8013943.84961594	10210886.5722223	NA	NA	NA	12643646.4769526	NA	NA	NA	NA	NA	NA	NA	6307623.60056037	NA	NA	NA	NA	9665668.49381767	NA	NA	18246505.7635826	NA	NA	592715.351341199	4120164.35924479	NA	8857645.78183817	NA	NA	NA	NA	6516190.24869936	15058130.9321155	5543707.12961053	8353433.25172792	NA	14264479.6109318	NA	NA	3254060.61163425	5991108.86443198	NA	NA	NA	11235352.4721853	7309671.97260712	NA	NA	2187228.74016735	NA	NA	17204628.5507407	NA	NA	NA	NA	NA	NA	NA	19252955.8418497	NA	5373998.1481458	16330677.7516368	NA	19372675.9726935	NA	13747284.0217683	NA	10821459.2447603	NA	11860294.7748784	NA	NA	NA	NA	NA	11999289.1334003	5020548.24117233	NA	9165924.19359201	NA	NA	4205544.76522461	9694956.76469768	2074063.5694971	14776046.3321259	NA	NA	NA	16034021.3951911	NA	6021077.63718455	NA	16501281.96651	NA	NA	17943760.6598392	NA	NA	6795057.28272641	NA	NA	NA	17725733.7375561	7025275.65625054	7186966.16644496	3486192.41606765	6172545.38261155	9332194.99130833	NA	10143971.0179136	15123370.1329113	10985454.9474344	17585795.3663637	17097094.179986	16447113.3693483	NA	NA	NA	12924170.1215253	17170093.2805649	8336735.90241016	NA	NA	18988916.0427487	NA	9985061.65370008	19406768.7843662	NA	NA	NA	17047077.1638738	NA	NA	11577186.6431228	16392926.965924	19804761.7044791
"A0A3B3ITA4"	19715045.4735473	NA	17808237.8325506	NA	18631282.0780441	13815797.9379692	NA	18425055.3450728	18791043.0403299	9744204.47127309	NA	NA	16895723.4841661	13644692.0880342	NA	2137819.12603282	8429582.59517904	20098171.8155542	NA	NA	10206361.6116421	95475.1436412017	3809357.82935865	NA	NA	3073199.69921458	NA	10853690.9070329	NA	14491344.5731738	13379850.8167751	NA	847411.092854003	11809113.6945699	15489212.2898085	3855806.2791473	9580253.6696931	787963.652593793	NA	NA	9019656.11477926	NA	NA	11663878.0696883	NA	13249423.6593423	NA	198230.502892059	13985134.2774689	1657139.38973911	6005728.83864843	NA	10169675.4382061	NA	4057484.43516168	2499260.77109021	19618472.3135428	3359630.90213182	197512.841985581	NA	NA	NA	NA	14448942.203994	9693310.05656588	13786841.0053772	6832495.75410404	3996403.88652879	NA	NA	NA	NA	NA	644177.525061364	NA	NA	NA	12505322.6512706	444573.003976609	2826514.30147434	10667693.163835	NA	NA	8471338.5285029	NA	NA	NA	19083972.1443894	NA	17258704.1575271	556959.828741076	6636668.90158738	NA	4299717.06334531	NA	NA	NA	18066993.8016576	NA	2494781.34448301	19519557.8346165	11545423.4254571	18515928.3454386	16500868.9535316	NA	NA	NA	NA	NA	NA	NA	17586767.7063141	1304762.31246873	NA	NA	10907013.1166669	NA	14990564.0645005	NA	17230398.8094752	NA	NA	NA	NA	12250870.7870337	2861193.23516574	NA	4162551.6678096	NA	NA	3247569.40092632	4147374.86006898	6526466.60831875	NA	12633907.3554033	NA	NA	NA	8167463.69305523	19272191.3497097	NA	NA	NA	6823942.71427558	989458.054829989	NA	NA	NA	8576554.24501488	NA	18153087.3574971	NA	NA	10536849.662482	NA	4551031.37083931	11844422.7758123	4032560.34030601	NA	NA	2972704.74079453	NA	19540472.6985955	11958601.5568007	NA	5202248.23208197	NA	8843080.02583564	13000810.8502547	3974343.67348738	13800355.8873409	NA	NA	NA	NA	NA	NA	4558517.10081093	15342746.6052585	5934931.96638285	NA	NA	3922370.37628016	12459217.0933792	NA	NA	13282675.0989338	17071147.4479602	NA	18755513.5268827	2654260.33779533	NA	NA	11865178.3969855	13893600.1565528	1276118.30757406	NA	9268906.02356913	11499722.1106504	13157668.9253989
"Q0VDC6"	16524269.2757966	14872683.075049	NA	NA	4752072.79831357	NA	NA	19159714.2183572	NA	6219451.78929922	13778881.2395751	8350093.32124272	NA	NA	NA	NA	NA	NA	9521040.22808739	NA	19381092.2107463	NA	14581914.1152336	2925614.47564194	9430282.07383301	NA	7616780.11985462	NA	NA	NA	NA	NA	NA	NA	NA	NA	1169922.89924744	13477458.4673437	5317246.28673267	NA	NA	NA	NA	NA	18012598.376883	NA	16683260.3242176	NA	8756397.82122019	2247928.06252255	2680979.88160521	NA	12779458.8487278	16439040.0184342	13069762.4807461	NA	NA	NA	6469631.83976667	NA	NA	NA	17846506.9218263	NA	NA	NA	NA	15212023.0368408	NA	NA	16197408.9773558	9280803.45258619	NA	9916383.76951464	NA	NA	NA	NA	6739332.75511122	8688450.92170803	11666641.2095501	5148487.52300701	NA	NA	NA	20050005.8893981	14907824.5004786	16767651.3976858	11637947.8448579	1896891.02785702	NA	NA	9564401.24228876	NA	NA	16687829.581564	6999041.10706932	NA	8051870.22305848	NA	NA	NA	NA	11625336.8139247	NA	2585548.09732548	2308315.37081012	1189935.07326695	5062917.07728617	18571728.7090793	13924673.7503242	14066136.9314577	10196623.9461901	4041022.60721463	8948328.92804394	17480954.3617591	NA	NA	10212176.0558906	NA	4913708.78099234	1723244.19283778	16665108.5287231	14139010.2033345	17182323.1232882	NA	NA	NA	1938838.83769832	7844429.78534259	NA	NA	18777783.7272474	NA	17637203.3837303	NA	20347383.9704991	NA	4853156.65295091	NA	11089472.3862203	NA	NA	11614666.4943134	NA	9661251.48905795	14457219.5322609	NA	143320.961541365	5435604.78095247	NA	5755613.80340449	1945727.56774734	8830801.47522763	8788316.48441819	13898100.7584322	1267387.56200585	NA	NA	NA	5244426.87618316	749445.846659782	NA	NA	NA	12875483.0505061	NA	1036154.88342431	9347622.5999251	2899984.80168119	11451318.1554004	NA	NA	NA	15218754.1943134	NA	7544493.72659612	NA	NA	NA	16580486.8827118	4086506.38297722	NA	16592715.6785678	NA	20142675.7472305	NA	NA	7232399.95904808	10614994.7253779	14651951.5470668	15814244.4151721	NA	6424066.35124567	8903880.28999984	NA	NA	321560.170642394	NA	NA
"P51589"	NA	NA	NA	NA	13010617.428132	NA	NA	5149590.65000411	NA	1722289.2832294	14851350.7108372	12639791.8303218	12576676.4046453	19018281.4154121	NA	NA	NA	NA	4599891.43193653	NA	NA	NA	13960925.5546869	NA	8485580.92144358	17080596.6966873	18918172.3894145	2798878.03016495	16798126.678192	NA	NA	NA	8724284.79281545	9724949.48216259	NA	9123541.43414187	9202265.44801481	NA	10374912.5531565	NA	10207712.4893244	3888778.56679024	18767212.1129557	12742048.2478153	NA	NA	18477529.8014929	11012072.1551982	NA	17289230.0112452	NA	NA	NA	1310869.77965873	NA	NA	5108602.95079874	19470909.1693551	4916277.1321419	6555722.4310681	3925038.99353341	NA	19703001.2784804	NA	NA	16350917.0292614	11127797.1783582	10037636.8948991	NA	NA	NA	17073525.264486	2729631.78739704	9903820.19974224	NA	NA	7806136.52770562	NA	13940025.0565836	1758381.11197913	16474938.8809727	NA	NA	100770.051395662	NA	NA	NA	NA	15486203.1694191	5187279.46068453	NA	2920109.90414135	NA	NA	6237690.84594938	NA	NA	NA	NA	NA	NA	10419920.0423238	18060789.3231698	8176416.84084234	1730572.88318366	16040717.5349494	NA	NA	NA	7332795.98849961	NA	2151670.72337615	NA	NA	NA	NA	4364144.13296948	12920861.4733412	11366889.1520232	NA	12385459.1424205	3741917.3329133	NA	NA	2902705.91933414	2848139.28415611	NA	5283076.08300879	10463354.3372425	NA	17928508.1731032	NA	11006502.1877951	13328293.5970127	NA	3103001.86302175	8289804.78489356	4773299.22430383	3826499.16941273	17056524.7280961	NA	NA	NA	6931689.0994695	5540314.51790308	NA	3645091.96352013	NA	10171546.89925	3705732.93253521	19302789.370659	NA	10918016.9491953	NA	NA	NA	19927500.72013	16739113.5832126	NA	NA	NA	215431.999753255	19995849.3121774	17253264.9962045	NA	12658207.9360404	NA	NA	20202121.084239	NA	NA	13665321.5902377	7568968.3632126	NA	581296.516786244	17174194.2788854	NA	NA	12546054.8767645	NA	8254467.42871459	17077172.6932336	8319009.69181977	NA	NA	NA	19364207.8100181	NA	14653582.9423837	4334205.47192989	20370217.632962	2814810.07659293	NA	4505531.87779038	NA	NA	NA	13623580.1369933	NA	9512510.6000206
"H0YC35"	7803965.16294648	NA	13108353.8814577	NA	14961270.554525	NA	NA	6403399.66621584	NA	13842009.1467661	7088772.26061993	2396723.93589041	1721304.3570778	NA	8250834.42770306	NA	5711749.58859883	NA	7378544.3885464	18925816.0060228	NA	NA	NA	7758347.45477658	NA	NA	NA	NA	NA	NA	947138.278728926	11707546.6297369	9363056.07099926	NA	NA	NA	NA	13767640.2297221	NA	16630374.3632598	13663549.2722944	7045529.74229034	350579.077784011	NA	14599370.6813348	NA	NA	NA	NA	NA	NA	12871052.7077041	NA	NA	NA	1341839.76686782	19566883.6925172	19096647.5576672	NA	NA	NA	NA	NA	NA	17217649.6872161	10107232.4820741	NA	NA	16092582.7954418	12256563.33785	NA	11762232.2223601	NA	133321.141460495	18920069.8127697	6737848.01639888	NA	NA	NA	NA	NA	916951.162747852	NA	13556138.7840201	NA	NA	12188434.6640907	5822075.38842726	14232730.0263345	12491995.6582113	11471996.9698165	14149690.1303334	6471604.46626846	841944.936628201	13582160.324238	NA	5021627.79937766	NA	NA	10789785.8483167	10695592.3939577	NA	6947790.20070579	2914422.97785808	19126302.5747454	18479223.0999821	NA	NA	NA	20366549.0146667	NA	17608373.4171189	5254047.07835533	NA	2217269.37560788	NA	NA	NA	NA	NA	NA	NA	NA	19176765.170929	13861288.8229131	NA	NA	14740590.7988938	6090066.37912501	NA	20226047.0481385	NA	14138188.4838093	NA	10778729.129951	NA	4261034.60896301	17721284.570175	13092634.7535818	NA	NA	NA	NA	NA	14028041.3128673	10189127.0956316	NA	NA	NA	16434032.994454	NA	NA	NA	NA	15635103.8151789	17201862.9888085	2669740.2421968	3531647.93116915	NA	NA	15381728.3066848	NA	3710531.38246308	NA	76699.8910299516	16413182.8268798	19300851.0290643	14988662.9771095	5614329.58425166	NA	2553764.58946625	NA	20224881.3993656	10888981.7489903	18341779.8230143	NA	13906689.6439519	16718216.1686096	NA	NA	NA	NA	18656819.4040254	NA	16953215.4570328	NA	4770700.41883014	228612.298140097	NA	NA	NA	NA	3227657.23129366	NA	NA	1316317.77273529	NA	NA	74704.4618529792	NA
"Q5SZK8"	NA	13655961.3918577	NA	15198884.7559043	NA	12868516.500142	NA	15629358.7068611	NA	1658683.44300616	3017632.76320976	NA	NA	15197021.7459354	NA	NA	16862170.6229017	7248068.58033087	NA	NA	12685686.2731283	13395686.2801692	NA	19441233.9096683	NA	15663133.6848351	NA	5325298.5480273	NA	NA	11574480.5575339	8922696.48464309	4945691.60764448	NA	NA	7485732.59356401	NA	NA	19527929.6807334	NA	16932728.966432	NA	NA	NA	NA	7337229.31011517	9243585.78933392	10820946.1607761	NA	9189757.42407452	3264196.61964581	NA	14637686.2657981	11399518.2099162	8413384.47788647	2364447.47721034	NA	18639983.1925067	17608537.9037786	11224271.0477492	NA	8427888.8636674	NA	NA	16223516.0371226	6445608.15079618	10373319.8015218	NA	16669167.2383595	1608792.68861837	NA	NA	18951049.0314457	16573857.7424666	6989211.43624903	NA	19379521.4861532	4775101.33038296	5581191.03979145	18523525.5477535	NA	NA	NA	NA	NA	15721413.8298856	NA	NA	NA	17463809.9810311	NA	12270252.7659173	13233264.2285584	NA	10927706.9488716	3537943.12547494	11793443.0223787	3999012.2755976	7508263.57335452	NA	10347368.8629925	NA	18681643.0471964	NA	11417721.0497131	17329318.8177647	11426782.8861279	NA	10724864.9665853	NA	3019134.72764918	NA	16697262.013794	1324628.37710977	1966303.66543836	NA	NA	NA	NA	19607923.8683298	20174484.0848809	NA	NA	14011082.8510296	NA	3463388.57029147	NA	NA	4662732.2024359	17495593.0844188	NA	2257818.45641005	NA	10954683.5509695	8660638.20089975	11583774.070461	NA	13174481.8821861	15297811.6354506	NA	4426688.27835188	NA	13878665.7890246	17892303.7014221	16228755.8320674	NA	NA	NA	12045299.8213136	NA	NA	NA	NA	NA	14064633.9344263	NA	NA	10703230.7334026	NA	NA	18569607.8937397	NA	1455681.82295964	19701593.4179026	NA	9892377.82018794	NA	12037.91388004	NA	16306200.9023233	NA	NA	4113123.79059757	9368530.86388104	NA	NA	16081302.775503	19077825.924072	NA	NA	5509086.82049307	19653730.7692298	9470661.57163469	8136578.15473525	NA	7758653.65873019	NA	14780080.9257443	NA	NA	NA	20114206.888009	17294822.9859386	2281961.369301	20157443.2155455	NA	NA	6640162.57406604	126833.509135657	NA
"P52597"	3951722.94861046	18629783.1685541	NA	15747116.6941525	44223.3521988782	NA	3734160.3120156	6781677.36100342	1592645.9867902	NA	NA	17622261.012425	7627867.52571032	9737210.32167772	11546027.7534514	18196372.302507	NA	NA	NA	NA	NA	NA	NA	1455091.05189802	NA	9300190.82759536	15508832.7403254	NA	NA	NA	18848097.6129664	NA	1657852.84414207	NA	NA	NA	NA	NA	7238085.09138131	NA	16980555.9121682	NA	NA	NA	10211352.7517889	15242489.2571855	NA	NA	NA	NA	NA	NA	NA	NA	6137434.50191733	NA	14038798.4748873	NA	NA	13634091.4755157	NA	16528179.8536971	921305.864622296	NA	14901349.1973966	18534910.3115333	NA	NA	NA	3575564.81768008	NA	NA	20110181.2641407	11548954.7994373	NA	1023182.74510135	3474714.96169724	15719439.3856414	12148278.3536584	3853276.56692147	NA	514651.944101885	NA	7752503.35087142	14989793.6224435	12730448.9618729	11716346.1116664	NA	NA	303179.563245402	6489005.69591103	NA	7030650.70170384	NA	3205933.69556393	NA	8200737.54988432	17016529.7542044	14399785.8794249	5099086.34091347	3139099.68270805	NA	13288667.7200124	17621725.0496299	NA	NA	814859.764864764	3123344.34749581	350415.485720094	2341570.77898067	NA	NA	NA	NA	10437314.3293321	NA	10108213.1684128	1007970.79116729	NA	8155655.95202272	NA	16662610.0226625	NA	5126249.64705224	NA	NA	NA	8681254.40312885	NA	3972741.62852531	14419027.9492401	NA	5792239.87237669	NA	NA	6300514.32410283	17993319.6905015	NA	3547502.10969713	14619381.7228341	NA	NA	8865933.61208839	NA	NA	1714838.54717959	NA	NA	NA	NA	17876175.5148713	NA	NA	NA	1713764.73246946	NA	NA	4072742.08485739	10509797.1387058	10319311.7176821	7564510.75427354	NA	2019876.00500163	NA	9071946.59853073	7645006.13915069	NA	NA	NA	10635231.3144568	15316782.2477926	5144920.23195826	11138080.004763	NA	NA	NA	NA	18026248.1144007	17468319.8001021	1066777.13935375	13766134.6773826	5441011.53221228	NA	19075838.4939136	16696353.0045623	3041610.88013929	NA	NA	10786520.0074919	8185303.44593124	NA	NA	NA	NA	12079915.0198148	NA	NA	3459280.53416697	19695584.2563191	NA
"O00186"	688946.295153862	9208678.80033971	235919.35639887	254588.589894262	NA	NA	4568359.87174908	7535091.26332446	15878235.1695014	NA	12410157.0330252	6973398.26161338	NA	NA	NA	NA	NA	NA	19011739.5791488	12160000.7845155	2805929.9430479	NA	NA	7067765.67678195	14771986.418592	NA	2397930.36490664	NA	18618003.4454998	944036.510575351	9640999.46820201	3045646.15898006	NA	NA	6066566.74245386	NA	18381989.3571364	NA	1618494.90333372	NA	5267835.26884414	8440527.96492212	10444788.6532077	NA	12723244.8630221	6271484.60567615	11149690.5683223	NA	NA	NA	NA	16298939.4351394	3081311.88415041	NA	9889124.06116455	11141859.7623074	NA	2496305.78802043	NA	NA	NA	NA	NA	NA	11233258.8420884	NA	NA	NA	NA	NA	NA	NA	4138009.12280882	NA	5786308.70717243	19006389.3254187	11810103.1745946	NA	714703.453770488	4404600.57552446	13814373.570196	12506531.1026443	17373387.9473453	NA	NA	19273617.8302517	NA	5082150.75788676	13004057.9045683	20410554.2425101	12905489.629447	16711686.114363	6983387.15620547	NA	16106124.3963165	7411509.16253655	7212640.92232239	NA	NA	NA	NA	NA	2092903.51851316	NA	NA	4632027.21067309	NA	6418376.6174544	NA	NA	NA	20176880.5356463	NA	NA	3487603.71703245	1766715.82761304	20397066.5553061	NA	12726125.4994731	NA	943191.745692047	NA	17134956.1425331	8174358.6234143	13576309.6203098	9313582.08403711	13240412.5674451	18578760.7409988	NA	13857608.48922	8404344.58761897	NA	NA	10404738.1858272	NA	NA	4227561.9996011	12626637.2563219	NA	11589595.3859665	16809642.2195015	9696415.42213649	11919176.2738681	2745301.21762282	NA	NA	10694948.9702248	8949463.2183799	16964641.243739	8797326.44855374	3068316.19131113	10826367.3492889	NA	8903788.86516713	14013393.9487931	11925069.9802537	NA	19214123.019242	NA	10341749.3216598	NA	2784452.57818535	NA	NA	17428842.1119396	NA	13811290.0413275	NA	4341375.87592613	985451.869385731	16202309.4397525	4021221.09622376	14674259.9771253	NA	6658430.76218062	NA	13397959.6811896	4922870.95012968	1414076.71467601	732556.630341552	7377454.97075364	3511625.15047956	NA	NA	NA	20192530.5940668	12794539.7158305	NA	119518.394756456	NA	NA	NA	NA	2221129.98938282	NA	6392937.0926799	19462930.7883474	5626966.90107332	5394869.86691279	NA
